id	theme	file	title	tags	cpts	params
01-resistor-simple	00_curricular	sch/00_curricular/01_resistor_simple.sch	01 resistor simple	cpt:r, curricular-base, curricular:tcii	r	down
02-divisor-resistivo	00_curricular	sch/00_curricular/02_divisor_resistivo.sch	02 divisor resistivo	cpt:r, cpt:v, cpt:w, curricular-base, curricular:tcii, visibilidad-nodos	r,v,w	down,draw_nodes,label_nodes,right
03-rc-transitorio	00_curricular	sch/00_curricular/03_rc_transitorio.sch	03 rc transitorio	cpt:c, cpt:r, cpt:v, cpt:w, curricular-base, curricular:tcii	c,r,v,w	down,right,size
04-rlc-serie	00_curricular	sch/00_curricular/04_rlc_serie.sch	04 rlc serie	cpt:c, cpt:l, cpt:r, cpt:v, cpt:w, curricular-base, curricular:tcii, visibilidad-nodos	c,l,r,v,w	down,draw_nodes,right
05-rl-con-switch	00_curricular	sch/00_curricular/05_rl_con_switch.sch	05 rl con switch	cpt:l, cpt:r, cpt:v, cpt:w, curricular-base, curricular:tcii, visibilidad-nodos	l,r,v,w	down,draw_nodes,right
06-cuadripolo	00_curricular	sch/00_curricular/06_cuadripolo.sch	06 cuadripolo	cpt:p, cpt:r, cpt:w, curricular-base, curricular:tcii, etiqueta-i, etiqueta-v, visibilidad-nodos	p,r,w	down,draw_nodes,i>^,i^<,label_nodes,right,v,v_
07-transformador	00_curricular	sch/00_curricular/07_transformador.sch	07 transformador	cpt:r, cpt:tf, cpt:v, cpt:w, curricular-base, curricular:tcii, etiqueta, etiquetas-globales, visibilidad-nodos	r,tf,v,w	down,draw_nodes,l,label_ids,right
08-opamp-inversor	00_curricular	sch/00_curricular/08_opamp_inversor.sch	08 opamp inversor	cpt:e, cpt:p, cpt:r, cpt:w, curricular-base, curricular:tcii, espejo, visibilidad-nodos	e,p,r,w	down,draw_nodes,mirror,right
09-impedancia-generica	00_curricular	sch/00_curricular/09_impedancia_generica.sch	09 impedancia generica	cpt:c, cpt:r, cpt:v, cpt:w, cpt:z, curricular-base, curricular:tcii, etiqueta, visibilidad-nodos	c,r,v,w,z	down,draw_nodes,l,label_nodes,right
10-dipolo-thevenin	00_curricular	sch/00_curricular/10_dipolo_thevenin.sch	10 dipolo thevenin	cpt:p, cpt:r, cpt:v, cpt:w, curricular-base, curricular:tcii, etiqueta-v, visibilidad-nodos	p,r,v,w	down,draw_nodes,label_nodes,right,v
11-resonante-paralelo	00_curricular	sch/00_curricular/11_resonante_paralelo.sch	11 resonante paralelo	cpt:c, cpt:i, cpt:l, cpt:r, cpt:w, curricular-base, curricular:tcii, visibilidad-nodos	c,i,l,r,w	down,draw_nodes,right,up
14-opamp-no-inversor	00_curricular	sch/00_curricular/14_opamp_no_inversor.sch	14 opamp no inversor	cpt:e, cpt:p, cpt:r, cpt:w, curricular-base, curricular:tcii, visibilidad-nodos	e,p,r,w	down,draw_nodes,right
15-opamp-integrador	00_curricular	sch/00_curricular/15_opamp_integrador.sch	15 opamp integrador	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular-base, curricular:tcii, espejo, visibilidad-nodos	c,e,p,r,w	down,draw_nodes,mirror,right
16-opamp-derivador	00_curricular	sch/00_curricular/16_opamp_derivador.sch	16 opamp derivador	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular-base, curricular:tcii, espejo, visibilidad-nodos	c,e,p,r,w	down,draw_nodes,mirror,right
17-cuadripolo-t	00_curricular	sch/00_curricular/17_cuadripolo_T.sch	17 cuadripolo T	cpt:p, cpt:w, cpt:z, curricular-base, curricular:tcii, etiqueta, etiqueta-i, etiqueta-v, visibilidad-nodos	p,w,z	down,draw_nodes,i>^,i^<,l,label_nodes,right,v,v_
18-cuadripolo-pi	00_curricular	sch/00_curricular/18_cuadripolo_pi.sch	18 cuadripolo pi	cpt:p, cpt:w, cpt:z, curricular-base, curricular:tcii, etiqueta, etiqueta-i, etiqueta-v, visibilidad-nodos	p,w,z	down,draw_nodes,i>^,l,label_nodes,right,v,v_
19-filtro-rc-pasabajo	00_curricular	sch/00_curricular/19_filtro_RC_pasabajo.sch	19 filtro RC pasabajo	cpt:c, cpt:p, cpt:r, cpt:w, curricular-base, curricular:tcii, etiqueta, etiqueta-v, visibilidad-nodos	c,p,r,w	down,draw_nodes,l,label_nodes,right,v,v_
20-filtro-cr-pasaalto	00_curricular	sch/00_curricular/20_filtro_CR_pasaalto.sch	20 filtro CR pasaalto	cpt:c, cpt:p, cpt:r, cpt:w, curricular-base, curricular:tcii, etiqueta, etiqueta-v, visibilidad-nodos	c,p,r,w	down,draw_nodes,l,label_nodes,right,v,v_
21-transformador-real	00_curricular	sch/00_curricular/21_transformador_real.sch	21 transformador real	cpt:l, cpt:r, cpt:tf, cpt:v, cpt:w, curricular-base, curricular:tcii, etiqueta, etiquetas-globales, visibilidad-nodos	l,r,tf,v,w	down,draw_nodes,l,label_ids,right
22-cuadripolo-caja-negra	00_curricular	sch/00_curricular/22_cuadripolo_caja_negra.sch	22 cuadripolo caja negra	cpt:p, cpt:tp, cpt:w, curricular-base, curricular:tcii, etiqueta, etiqueta-i, etiqueta-v, visibilidad-nodos	p,tp,w	down,draw_nodes,i,i^<,i_,ir,l,label_nodes,right,v^,v_
c-stamp	01_pasivos	sch/01_pasivos/C-stamp.sch	C stamp	cpt:c, cpt:p, cpt:w, curricular:tcii, etiqueta-i, etiqueta-v, pasivo, tierra, visibilidad-nodos	c,p,w	down,ground,i,label_nodes,right,v
capacitors	01_pasivos	sch/01_pasivos/capacitors.sch	Capacitors	cpt:c, curricular:tcii, etiqueta, kind, kind:curved, kind:electrolytic, kind:polar, kind:sensor, kind:tunable, kind:variable, pasivo, visibilidad-nodos	c	draw_nodes,kind,l,label_nodes,right
cpe1	01_pasivos	sch/01_pasivos/CPE1.sch	CPE1	cpt:cpe, curricular:tcii, pasivo	cpe	right
fb1	01_pasivos	sch/01_pasivos/FB1.sch	FB1	cpt:fb, curricular:tcii, pasivo	fb	right
fb2	01_pasivos	sch/01_pasivos/FB2.sch	FB2	cpt:c, cpt:fb, curricular:tcii, pasivo	c,fb	down,right
ferrite-choke1	01_pasivos	sch/01_pasivos/ferrite-choke1.sch	Ferrite choke1	cpt:c, cpt:o, cpt:r, cpt:tf, cpt:v, cpt:w, curricular:tcii, estilo, etiqueta, etiqueta-i, kind, layout, pasivo, visibilidad-nodos	c,o,r,tf,v,w	blue,core,dashed,down,draw_nodes,fixed,i,l,label_nodes,right,up
ferrite-choke2	01_pasivos	sch/01_pasivos/ferrite-choke2.sch	Ferrite choke2	cpt:c, cpt:o, cpt:r, cpt:tf, cpt:v, cpt:w, curricular:tcii, estilo, etiqueta, etiqueta-i, kind, layout, pasivo, raw-tikz, tierra, visibilidad-nodos	c,o,r,tf,v,w	blue,core,dashed,down,draw_nodes,fixed,ground,i,l,label_nodes,right,up
i-stamp	01_pasivos	sch/01_pasivos/I-stamp.sch	I stamp	cpt:i, cpt:p, cpt:w, curricular:tcii, etiqueta-v, pasivo, tierra, visibilidad-nodos	i,p,w	down,ground,label_nodes,right,v
